method,correction,feature_set,schedule,window,n,mae,rmse,mape,r2
momentum_reproduced,none,none,811,full,32907,0.035824908980448475,0.04496681415291564,0.012664982947026572,0.9352020654537421
momentum_reproduced,none,none,811,steps_20000_30000,10001,0.04025711479489185,0.050212336096667934,0.014656505972758513,0.1805010449891481
momentum_reproduced,none,none,cosine,full,32907,0.03222440860823775,0.040310717001940756,0.01144547392070159,0.953200053533404
momentum_reproduced,none,none,cosine,steps_20000_30000,10001,0.03195090048908141,0.04000131762163917,0.011794353173003737,0.2236470383005219
momentum_reproduced,none,none,wsd,full,32907,0.03784463502128984,0.04738345589320234,0.01342406606687673,0.9256661006819756
momentum_reproduced,none,none,wsd,steps_20000_30000,10001,0.04428734394221335,0.05442902137314473,0.016123435217298393,-0.2886719847351551
momentum_reproduced,mean_shift,constant_residual,811,full,32907,0.03561196690822216,0.04469609747004053,0.012585373962094647,0.9359799314400948
momentum_reproduced,mean_shift,constant_residual,811,steps_20000_30000,10001,0.0398033343641163,0.049699659079501184,0.014489975388818367,0.19715007861211797
momentum_reproduced,mean_shift,constant_residual,cosine,full,32907,0.03223259082906744,0.04030663202822065,0.011444574686245426,0.9532095382004598
momentum_reproduced,mean_shift,constant_residual,cosine,steps_20000_30000,10001,0.0319910154050422,0.04003463139110663,0.011805151217458981,0.22235338025115015
momentum_reproduced,mean_shift,constant_residual,wsd,full,32907,0.03750257622030009,0.04697463564111342,0.013298557801830396,0.9269432597752665
momentum_reproduced,mean_shift,constant_residual,wsd,steps_20000_30000,10001,0.04370093967913304,0.05380704453119157,0.015909269794194866,-0.2593881768588773
momentum_reproduced,smooth_residual,spline_s0.5_shrink1,811,full,32907,0.019061554792039796,0.023538354821134592,0.006765157661122214,0.9822446542222529
momentum_reproduced,smooth_residual,spline_s0.5_shrink1,811,steps_20000_30000,10001,0.02987030971214093,0.03332036024993685,0.010788804715705475,0.6391332018019895
momentum_reproduced,smooth_residual,spline_s0.5_shrink1,cosine,full,32907,0.009087495429932691,0.011063517761497927,0.003212539810571834,0.996474742987363
momentum_reproduced,smooth_residual,spline_s0.5_shrink1,cosine,steps_20000_30000,10001,0.008667503286507177,0.010499768899897679,0.003197483562585757,0.9465103075489756
momentum_reproduced,smooth_residual,spline_s0.5_shrink1,wsd,full,32907,0.02286704835150473,0.02739592590378845,0.008138323479417946,0.9751512002810945
momentum_reproduced,smooth_residual,spline_s0.5_shrink1,wsd,steps_20000_30000,10001,0.03760781831532847,0.03925503096026547,0.013587495748845713,0.3296957330254914
momentum_reproduced,smooth_residual,spline_s0.1_shrink0.75,811,full,32907,0.018958580290075952,0.023471475011446745,0.006748957453391095,0.9823454078359447
momentum_reproduced,smooth_residual,spline_s0.1_shrink0.75,811,steps_20000_30000,10001,0.029601656665079874,0.033083363214475775,0.01072469402224832,0.6442484050623459
momentum_reproduced,smooth_residual,spline_s0.1_shrink0.75,cosine,full,32907,0.009500507866830075,0.011679277488498693,0.0033710078264813912,0.9960714140029112
momentum_reproduced,smooth_residual,spline_s0.1_shrink0.75,cosine,steps_20000_30000,10001,0.009336621400057402,0.011494854313725194,0.0034460187664156795,0.9358912125263632
momentum_reproduced,smooth_residual,spline_s0.1_shrink0.75,wsd,full,32907,0.02290878335152132,0.027427299242139998,0.008183074191837912,0.9750942548659041
momentum_reproduced,smooth_residual,spline_s0.1_shrink0.75,wsd,steps_20000_30000,10001,0.03732372270252974,0.03904898165258067,0.013521289278603289,0.3367141071120814
momentum_reproduced,smooth_residual,spline_s0.1_shrink1,811,full,32907,0.016977551629919374,0.02141211033089518,0.006048463349601269,0.9853074942591836
momentum_reproduced,smooth_residual,spline_s0.1_shrink1,811,steps_20000_30000,10001,0.029315842688504005,0.03203436425557438,0.010567739453048109,0.6664509032276178
momentum_reproduced,smooth_residual,spline_s0.1_shrink1,cosine,full,32907,0.0037216566816971157,0.004956038439872066,0.001314917343138954,0.9992925860125459
momentum_reproduced,smooth_residual,spline_s0.1_shrink1,cosine,steps_20000_30000,10001,0.0035005389123999022,0.00463412943265384,0.0012913764544288905,0.989580498551884
momentum_reproduced,smooth_residual,spline_s0.1_shrink1,wsd,full,32907,0.021253045201418505,0.025600968665907133,0.007583204422090291,0.9783006739274941
momentum_reproduced,smooth_residual,spline_s0.1_shrink1,wsd,steps_20000_30000,10001,0.03764093891027302,0.03818336043459233,0.013582108561853008,0.3657950466811525
